Date,VIX_Close,BTC_Close,cpu_index,"Emission intensity, gCO2e/kWh","Monthly consumption, TWh","Cumulative consumption, TWh"
2014-10-01,14.03,338.321014,54.67273781,554.532145,0.2925,5.3881
2014-11-01,13.33,378.046997,131.020044,554.532145,0.315,5.7031
2014-12-01,19.200001,320.192993,78.02819956,554.1295028387098,0.3238,6.0269
2015-01-01,20.969999,217.464005,103.8572101,542.050238,0.3308,6.3577
2015-02-01,13.34,254.263,89.55959068,542.050238,0.2615,6.6192
2015-03-01,15.29,244.223999,80.16962581,542.050238,0.2958,6.915
2015-04-01,14.55,236.145004,104.3895228,542.050238,0.2564,7.1714
2015-05-01,13.84,230.190002,125.8811864,542.050238,0.2893,7.4607
2015-06-01,18.23,263.071991,58.1676658,542.050238,0.2955,7.7562
2015-07-01,12.12,284.649994,52.34319462,542.050238,0.3199,8.0761
2015-08-01,28.43,230.056,71.64043044,542.050238,0.311,8.3871
2015-09-01,24.5,236.059998,104.818745,542.050238,0.2242,8.6113
2015-10-01,15.07,314.165985,82.56443505,542.050238,0.2429,8.8542
2015-11-01,16.129999,377.321014,100.6703263,542.050238,0.331,9.1852
2015-12-01,18.209999,430.566986,137.3122441,541.7819889032259,0.4607,9.6458
2016-01-01,20.200001,368.766998,91.40321325,533.734516,0.3727,10.0185
2016-02-01,20.549999,437.696991,49.12534465,533.734516,0.442,10.4605
2016-03-01,13.95,416.729004,87.95350804,533.734516,0.5003,10.9608
2016-04-01,15.7,448.317993,108.1190625,533.734516,0.5203,11.4811
2016-05-01,14.19,531.385986,99.83579694,533.734516,0.5913,12.0724
2016-06-01,15.63,673.336975,120.3796358,533.734516,0.601,12.6734
2016-07-01,11.87,624.68103,101.1825344,533.734516,0.6008,13.2742
2016-08-01,13.42,575.471985,77.09684887,533.734516,0.3692,13.6435
2016-09-01,13.29,609.734985,107.3175953,533.734516,0.3724,14.0159
2016-10-01,17.059999,700.971985,104.6382294,533.734516,0.4158,14.4317
2016-11-01,13.33,745.690979,277.9767331,533.734516,0.4357,14.8674
2016-12-01,14.04,963.742981,223.5604902,533.6100978709678,0.5088,15.3763
2017-01-01,11.99,970.403015,249.4481416,529.877554,0.6113,15.9876
2017-02-01,12.92,1179.969971,247.5635413,529.877554,0.6133,16.6008
2017-03-01,12.37,1071.790039,208.660623,529.877554,0.7367,17.3375
2017-04-01,10.82,1347.890015,162.8100619,529.877554,0.565,17.9025
